Episode,Total Reward,Epsilon,Attempts,Success
533,147,0.0691356479495614,4,1
534,151,0.06878996970981359,3,1
535,147,0.06844601986126451,4,1
536,134,0.06810378976195819,4,1
537,142,0.0677632708131484,4,1
538,149,0.06742445445908266,4,1
539,154,0.06708733218678724,3,1
540,160,0.0667518955258533,5,1
541,145,0.06641813604822402,3,1
542,146,0.0660860453679829,4,1
543,169,0.06575561514114299,5,1
544,197,0.06542683706543727,6,1
545,153,0.06509970288011008,4,1
546,130,0.06477420436570952,2,1
547,144,0.06445033334388098,3,1
548,129,0.06412808167716157,4,1
549,133,0.06380744126877576,3,1
550,158,0.06348840406243188,5,1
551,155,0.06317096204211972,3,1
552,140,0.06285510723190912,3,1
553,177,0.06254083169574957,5,1
554,161,0.062228127537270826,5,1
555,159,0.06191698689958447,5,1
556,136,0.061607401965086545,3,1
557,132,0.06129936495526111,4,1
558,135,0.0609928681304848,3,1
559,142,0.060687903789832374,3,1
560,142,0.06038446427088321,4,1
561,131,0.06008254194952879,4,1
562,169,0.05978212923978115,5,1
563,133,0.05948321859358224,3,1
564,136,0.05918580250061433,4,1
565,141,0.058889873488111255,4,1
566,147,0.058595424120670696,4,1
567,171,0.05830244700006734,4,1
568,142,0.058010934765067,5,1
569,138,0.05772088009124167,3,1
570,153,0.05743227569078546,4,1
571,142,0.05714511431233153,4,1
572,138,0.05685938874076987,4,1
573,139,0.056575091797066025,3,1
574,142,0.056292216338080694,4,1
575,155,0.05601075525639029,4,1
576,145,0.05573070148010834,4,1
577,155,0.0554520479727078,4,1
578,135,0.05517478773284426,3,1
579,175,0.05489891379418004,4,1
580,134,0.05462441922520914,4,1
581,131,0.0543512971290831,4,1
582,144,0.05407954064343768,3,1
583,146,0.05380914294022049,4,1
584,135,0.05354009722551939,3,1
585,144,0.05327239673939179,3,1
586,145,0.053006034755694834,4,1
587,144,0.052741004581916356,3,1
588,140,0.052477299559006776,3,1
589,49,0.052214913061211746,6,0
590,89,0.05195383849590569,6,0
591,155,0.05169406930342616,4,1
592,162,0.05143559895690903,5,1
593,150,0.051178420962124486,4,1
594,141,0.05092252885731386,4,1
595,153,0.05066791621302729,4,1
596,144,0.05041457663196215,3,1
597,148,0.050162503748802344,3,1
598,163,0.049911691230058335,5,1
599,139,0.04966213277390804,4,1
600,135,0.0494138221100385,4,1
601,129,0.04916675299948831,2,1
602,81,0.04892091923449087,6,0
603,142,0.04867631463831842,4,1
604,143,0.048432933065126825,4,1
605,131,0.048190768399801194,3,1
606,145,0.04794981455780219,3,1
607,132,0.04771006548501318,2,1
608,140,0.047471515157588115,4,1
609,136,0.047234157581800176,4,1
610,155,0.046997986793891174,4,1
611,155,0.04676299685992172,5,1
612,135,0.04652918187562211,3,1
613,152,0.046296535966244,4,1
