Episode,Total Reward,Attempts,Success,Epsilon
673,172,3,1,0.034271518052411715
674,181,4,1,0.034100160462149656
675,246,4,1,0.03392965965983891
676,215,5,1,0.033760011361539714
677,181,4,1,0.03359121130473201
678,211,4,1,0.033423255248208356
679,176,4,1,0.03325613897196732
680,235,5,1,0.03308985827710748
681,201,4,1,0.032924408985721944
682,191,4,1,0.03275978694079333
683,255,5,1,0.032595988006089364
684,172,3,1,0.032433008066058915
685,201,4,1,0.03227084302572862
686,157,3,1,0.032109488810599975
687,172,3,1,0.031948941366546975
688,192,3,1,0.03178919665971424
689,210,5,1,0.03163025067641567
690,206,4,1,0.03147209942303359
691,210,5,1,0.03131473892591842
692,177,3,1,0.031158165231288826
693,181,4,1,0.03100237440513238
694,157,3,1,0.030847362533106718
695,177,3,1,0.030693125720441184
696,210,5,1,0.030539660091838977
697,172,3,1,0.03038696179137978
698,187,3,1,0.030235026982422884
699,191,4,1,0.030083851847510768
700,172,3,1,0.029933432588273214
701,181,4,1,0.029783765425331846
702,158,2,1,0.029634846598205186
703,201,4,1,0.02948667236521416
704,156,4,1,0.029339239003388088
705,220,5,1,0.029192542808371146
706,210,5,1,0.02904658009432929
707,177,3,1,0.028901347193857643
708,192,3,1,0.028756840457888354
709,166,4,1,0.02861305625559891
710,177,3,1,0.028469990974320916
711,177,3,1,0.02832764101944931
712,220,5,1,0.028186002814352063
713,191,4,1,0.0280450728002803
714,206,4,1,0.0279048474362789
715,221,4,1,0.027765323199097504
716,270,5,1,0.027626496583102015
717,211,4,1,0.027488364100186506
718,231,4,1,0.027350922279685573
719,177,3,1,0.027214167668287145
720,210,5,1,0.02707809682994571
721,181,4,1,0.02694270634579598
722,176,4,1,0.026807992814067
723,200,5,1,0.026673952849996664
724,240,5,1,0.02654058308574668
725,240,5,1,0.026407880170317945
726,167,3,1,0.026275840769466357
727,177,3,1,0.026144461565619025
728,163,2,1,0.02601373925779093
729,206,4,1,0.025883670561501974
730,215,5,1,0.025754252208694463
731,200,5,1,0.02562548094765099
732,182,3,1,0.025497353542912736
733,244,6,1,0.02536986677519817
734,187,3,1,0.02524301744132218
735,191,4,1,0.025116802354115567
736,162,3,1,0.024991218342344988
737,191,4,1,0.024866262250633264
738,171,4,1,0.024741930939380097
739,201,4,1,0.024618221284683196
740,186,4,1,0.02449513017825978
741,196,4,1,0.02437265452736848
742,221,4,1,0.024250791254731636
743,172,3,1,0.024129537298457977
744,191,4,1,0.024008889611965685
745,182,3,1,0.023888845163905856
746,230,5,1,0.023769400938086327
747,177,3,1,0.023650553933395897
748,104,6,0,0.023532301163728918
749,230,5,1,0.023414639657910272
750,176,4,1,0.023297566459620722
751,201,4,1,0.023181078627322618
752,186,4,1,0.023065173234186005
753,201,4,1,0.022949847368015076
754,192,3,1,0.022835098131175
755,172,3,1,0.022720922640519125
756,231,4,1,0.02260731802731653
757,221,4,1,0.022494281437179946
758,168,2,1,0.022381810029994047
759,206,4,1,0.022269900979844076
760,211,4,1,0.022158551474944856
761,221,4,1,0.022047758717570132
762,181,4,1,0.021937519923982282
763,172,3,1,0.021827832324362372
764,177,3,1,0.02171869316274056
765,176,4,1,0.021610099696926857
766,182,3,1,0.021502049198442223
767,197,3,1,0.021394538952450012
768,177,3,1,0.02128756625768776
769,168,2,1,0.021181128426399323
770,244,6,1,0.021075222784267326
771,211,4,1,0.020969846670345987
772,191,4,1,0.020864997436994256
773,201,4,1,0.020760672449809284
774,187,3,1,0.020656869087560238
775,215,5,1,0.020553584742122436
776,177,3,1,0.020450816818411825
777,182,3,1,0.020348562734319765
778,215,5,1,0.020246819920648168
779,182,3,1,0.020145585821044927
780,289,6,1,0.020044857891939702
781,220,5,1,0.019944633602480003
782,279,6,1,0.019844910434467605
783,206,4,1,0.019745685882295267
784,240,5,1,0.01964695745288379
785,171,4,1,0.01954872266561937
786,196,4,1,0.019450979052291272
787,221,4,1,0.019353724157029815
788,206,4,1,0.019256955536244666
789,205,5,1,0.019160670758563442
790,215,5,1,0.019064867404770626
791,162,3,1,0.018969543067746772
792,211,4,1,0.018874695352408037
793,279,6,1,0.018780321875645996
794,195,5,1,0.018686420266267767
795,206,4,1,0.018592988164936427
796,177,3,1,0.018500023224111744
797,197,3,1,0.018407523107991184
798,171,4,1,0.01831548549245123
799,163,2,1,0.018223908064988973
800,177,3,1,0.018132788524664028
801,216,4,1,0.018042124582040707
