Episode,Total Reward,Attempts,Success,Epsilon
333,452,5,1,0.7166507822451117
334,642,3,1,0.7159341314628666
335,825,2,1,0.7152181973314037
336,377,5,1,0.7145029791340722
337,434,4,1,0.7137884761549381
338,539,4,1,0.7130746876787832
339,434,4,1,0.7123616129911045
340,672,3,1,0.7116492513781133
341,509,4,1,0.7109376021267352
342,509,4,1,0.7102266645246085
343,437,5,1,0.7095164378600839
344,479,4,1,0.7088069214222238
345,627,3,1,0.7080981145008015
346,494,4,1,0.7073900163863007
347,317,5,1,0.7066826263699144
348,362,5,1,0.7059759437435444
349,524,4,1,0.7052699677998009
350,642,3,1,0.704564697832001
351,-285,6,0,0.7038601331341691
352,657,3,1,0.7031562730010349
353,554,4,1,0.7024531167280339
354,347,5,1,0.7017506636113059
355,482,5,1,0.7010489129476946
356,377,5,1,0.7003478640347469
357,-225,6,0,0.6996475161707122
358,347,5,1,0.6989478686545415
359,464,4,1,0.698248920785887
360,347,5,1,0.6975506718651011
361,702,3,1,0.6968531211932361
362,524,4,1,0.6961562680720428
363,627,3,1,0.6954601118039707
364,449,4,1,0.6947646516921667
365,347,5,1,0.6940698870404746
366,599,4,1,0.6933758171534341
367,509,4,1,0.6926824413362807
368,509,4,1,0.6919897588949444
369,524,4,1,0.6912977691360495
370,464,4,1,0.6906064713669134
371,657,3,1,0.6899158648955466
372,-210,6,0,0.689225949030651
373,582,3,1,0.6885367230816204
374,434,4,1,0.6878481863585387
375,467,5,1,0.6871603381721801
376,347,5,1,0.686473177834008
377,642,3,1,0.685786704656174
378,422,5,1,0.6851009179515178
379,287,5,1,0.6844158170335664
380,494,4,1,0.6837314012165328
381,687,3,1,0.6830476698153162
382,479,4,1,0.6823646221455009
383,539,4,1,0.6816822575233553
384,449,4,1,0.6810005752658319
385,657,3,1,0.680319574690566
386,257,6,1,0.6796392551158754
387,825,2,1,0.6789596158607596
388,554,4,1,0.6782806562448989
389,554,4,1,0.677602375588654
390,422,5,1,0.6769247732130653
391,702,3,1,0.6762478484398523
392,612,3,1,0.6755716005914124
393,452,5,1,0.674896028990821
394,627,3,1,0.6742211329618302
395,494,4,1,0.6735469118288684
396,422,5,1,0.6728733649170395
397,-240,6,0,0.6722004915521225
398,497,5,1,0.6715282910605703
399,627,3,1,0.6708567627695098
400,524,4,1,0.6701859060067403
401,434,4,1,0.6695157201007336
402,539,4,1,0.6688462043806328
403,464,4,1,0.6681773581762521
404,422,5,1,0.6675091808180759
405,642,3,1,0.6668416716372578
406,569,4,1,0.6661748299656206
407,539,4,1,0.6655086551356549
408,434,4,1,0.6648431464805192
409,612,3,1,0.6641783033340387
410,452,5,1,0.6635141250307047
411,479,4,1,0.662850610905674
412,642,3,1,0.6621877602947683
413,449,4,1,0.6615255725344735
414,449,4,1,0.660864046961939
415,479,4,1,0.660203182914977
416,419,4,1,0.6595429797320621
417,672,3,1,0.6588834367523301
418,434,4,1,0.6582245533155777
419,377,5,1,0.6575663287622622
420,509,4,1,0.6569087624334999
421,479,4,1,0.6562518536710664
422,747,3,1,0.6555956018173954
423,642,3,1,0.654940006215578
424,612,3,1,0.6542850662093624
425,377,5,1,0.6536307811431531
426,479,4,1,0.65297715036201
427,377,5,1,0.6523241732116479
428,317,6,1,0.6516718490384363
429,464,4,1,0.6510201771893979
430,362,5,1,0.6503691570122084
431,627,3,1,0.6497187878551962
432,672,3,1,0.649069069067341
433,449,4,1,0.6484199999982736
434,642,3,1,0.6477715799982753
435,437,5,1,0.647123808418277
436,554,4,1,0.6464766846098587
437,569,4,1,0.6458302079252489
438,642,3,1,0.6451843777173236
439,302,5,1,0.6445391933396063
440,524,4,1,0.6438946541462667
441,494,4,1,0.6432507594921204
442,332,5,1,0.6426075087326283
443,584,4,1,0.6419649012238956
444,509,4,1,0.6413229363226717
445,627,3,1,0.640681613386349
446,464,4,1,0.6400409317729626
447,287,5,1,0.6394008908411897
448,702,3,1,0.6387614899503485
449,717,3,1,0.6381227284603982
450,362,5,1,0.6374846057319378
451,539,4,1,0.6368471211262058
452,449,4,1,0.6362102740050796
453,464,4,1,0.6355740637310745
454,362,5,1,0.6349384896673435
455,672,3,1,0.6343035511776761
456,509,4,1,0.6336692476264985
457,657,3,1,0.6330355783788719
458,392,5,1,0.632402542800493
459,317,6,1,0.6317701402576925
460,302,5,1,0.6311383701174348
461,717,3,1,0.6305072317473174
462,810,2,1,0.6298767245155701
463,392,5,1,0.6292468477910546
464,479,4,1,0.6286176009432635
465,15,6,0,0.6279889833423202
466,494,4,1,0.6273609943589779
467,539,4,1,0.6267336333646188
468,419,4,1,0.6261068997312542
469,539,4,1,0.6254807928315229
470,642,3,1,0.6248553120386914
